model_name,window_size,rmse,mae,smape,r2,forecast_bias,training_time,model
cnn,30,1.781208494605541,1.3871125896799894,20.788647242261003,0.9415457091053504,0.030387294238173,49.61276650428772,cnn
cnn,60,1.7546349849888667,1.3493007248816191,19.818515055854583,0.9418602905740197,-0.0555232863551736,66.48372149467468,cnn
cnn,120,1.974347531228156,1.5443157759764767,21.417846545540197,0.926650676522752,0.5818271975439315,111.06666254997252,cnn
cnn,180,1.98858282207268,1.5563020118365942,21.36751860727145,0.9256233130039208,0.6680741243138465,47.68547487258911,cnn
cnn,270,1.912793778015761,1.4706411505174224,23.40776457878149,0.927988893027138,-0.5200084101385462,70.10202360153198,cnn
cnn,365,1.882897563867991,1.4623371909208878,21.416146778644965,0.931203589795958,0.3408630990433967,59.58492112159729,cnn
lstm,7,1.948502868473424,1.5077983007114597,22.02973694725968,0.9299836695178292,0.0337050116307675,88.11536002159119,lstm
lstm,14,2.0809660605235307,1.627083037578808,22.617143405734176,0.9201930751524088,0.0805509993004295,37.04864478111267,lstm
lstm,30,2.002471665233987,1.550708026581622,23.141997236814078,0.92612123270603,-0.2109502172822978,83.69633483886719,lstm
lstm,60,2.002387321763183,1.5610304234790533,22.10065443760153,0.92428264022824,-0.0334206678350691,102.63526821136476,lstm
lstm,120,2.057870602774392,1.6237590464989884,21.822626030472385,0.9203134477404236,0.2816365405082933,374.7120974063873,lstm
lstm,180,2.420254314881729,1.933406077692689,25.35934187955161,0.8898279403758347,1.0078071413854246,91.795241355896,lstm
lstm,270,2.1665936419065424,1.7106837461164663,24.903385389858634,0.9076114577064256,0.7020460982569546,449.6260013580322,lstm
lstm,365,2.078831234629831,1.6267325978332616,24.750427582701143,0.9161407725247124,-0.0975403819797987,177.9744246006012,lstm
rnn,7,2.0624866541420057,1.6207717054768611,23.757225051808952,0.9215524217645004,-0.0319940018162847,85.91135025024414,rnn
rnn,14,2.0505931277034577,1.57108947257584,23.039187372535448,0.9225057325000252,0.0747754731344673,145.0789122581482,rnn
rnn,30,2.069290049453345,1.6021037984953008,23.23448894711183,0.9211086078276784,-0.2712770266956361,273.5228967666626,rnn
rnn,60,2.0530974151790744,1.599052043189251,22.49206025833044,0.920399022543526,-0.1284325545545367,519.8827443122864,rnn
rnn,120,2.057515338489835,1.5949387453697823,22.747676432335084,0.9203409590351408,-0.3769862529854056,1931.051766872406,rnn
rnn,180,2.263123268563629,1.7404590818564414,24.416102185438312,0.9036690413734813,-0.5209357082488285,1448.0793051719666,rnn
rnn,270,2.068258054496623,1.6119428833118958,23.61429389315982,0.9158076494273844,-0.0764173343452033,4196.380877971649,rnn
rnn,365,2.0805863724826628,1.6253719103421158,22.974865511023907,0.9159991096179296,0.0904247259010561,2891.388147354126,rnn
tcn,7,2.820403985456569,2.356199727700832,37.32901293904124,0.8533034547000188,-2.134494910496596,174.5549192428589,tcn
tcn,14,2.0458535896985217,1.6156948144305618,22.92919886930483,0.9228635436772736,0.7609252972270066,198.58393359184265,tcn
tcn,30,3.201153215057005,2.7129955870916107,41.99871706144549,0.8112009505896394,-2.512575924739149,153.0530288219452,tcn
tcn,60,2.401749802824728,1.903030105568355,25.683158897684997,0.8910681659776204,-0.3023345775801363,216.410710811615,tcn
tcn,120,3.315252613755979,2.681525034374561,33.30660578297328,0.7931849388311147,0.7030911449707944,476.92638969421387,tcn
tcn,180,4.66443137879175,3.744435839667716,57.56819471851371,0.5907893962414936,-2.789587870751421,81.05532169342041,tcn
tcn,270,9.259973635009626,8.487141196351642,121.76044317818082,-0.6876511766088329,-8.460847862864386,257.1109926700592,tcn
tcn,365,4.895178739090514,4.037386999681712,56.90632790652883,0.5350036989647917,-3.334409931741632,139.458092212677,tcn
xgb,7,1.7499744815637233,1.358787245241446,21.93967478861482,0.9421073238519018,-0.0735385310155235,0.8227577209472656,xgb
xgb,14,1.7418525256399966,1.3559422049611116,21.941286168822224,0.9426666937796804,-0.0821059839914315,1.4776339530944824,xgb
xgb,30,1.7460374777692984,1.3579510369755636,21.733319422156747,0.9423218483979714,-0.1821215549067632,3.2872979640960693,xgb
xgb,60,1.7628425283542837,1.3797689602541112,21.965304954606918,0.9410015561131956,-0.21209848478445,7.88451886177063,xgb
xgb,120,1.7461421726802258,1.36031710931218,21.663119897975523,0.9418697755193722,-0.2065150346314097,14.00107192993164,xgb
xgb,180,1.764648856581669,1.3846317237381387,21.796552095003456,0.940632215136472,-0.2538054041664502,20.56064772605896,xgb
xgb,270,1.768780260524608,1.3881960173478016,21.49942211144312,0.9401584668228768,-0.3345559412037009,28.17923927307129,xgb
xgb,365,1.7521903039558904,1.3672785383946895,21.067628591485757,0.9414445182847104,-0.2604148066882502,38.109034061431885,xgb
gbm,7,1.7645581359827451,1.3674591553100308,22.06525984863066,0.941138389982735,-0.0399580338027451,0.8198230266571045,gbm
gbm,14,1.7513751862189275,1.3665828244007496,22.12574650941116,0.9420381009492768,-0.0556540484742944,1.1533620357513428,gbm
gbm,30,1.7575209169571833,1.3722597574312316,21.79128176298382,0.941560671591266,-0.1814991713231501,2.1474649906158447,gbm
gbm,60,1.7550760658165148,1.370206950558988,21.769749285097262,0.941520263646958,-0.2057799992463161,4.174929857254028,gbm
gbm,120,1.7560879509891745,1.3704408650631583,21.420949630229245,0.9412056865740872,-0.1908621096267742,8.261893272399902,gbm
gbm,180,1.749593566605736,1.3691135123376772,21.39800242250504,0.9416408990356472,-0.2260769781042381,11.734622955322266,gbm
gbm,270,1.7508303316377416,1.3687392470245907,21.01175951881919,0.9413668712132228,-0.268760807894603,17.882694005966187,gbm
gbm,365,1.7411946900606996,1.3653022069551315,21.13932104376552,0.9421771250829776,-0.2292700538048339,23.9657039642334,gbm
