model_name,window_size,rmse,mae,smape,r2,forecast_bias,training_time
lstm,7,1.948502868473424,1.5077983007114595,22.029736947259682,0.9299836695178293,0.03370501163076753,88.11536002159119
lstm,14,2.0809660605235307,1.627083037578808,22.617143405734176,0.9201930751524088,0.08055099930042954,37.04864478111267
lstm,30,2.002471665233987,1.550708026581622,23.141997236814074,0.92612123270603,-0.21095021728229785,83.69633483886719
lstm,60,2.002387321763183,1.5610304234790533,22.10065443760153,0.92428264022824,-0.033420667835069195,102.63526821136475
lstm,180,2.4202543148817295,1.9334060776926887,25.35934187955161,0.8898279403758347,1.0078071413854246,91.795241355896
lstm,365,2.078831234629831,1.6267325978332616,24.750427582701143,0.9161407725247124,-0.09754038197979878,177.9744246006012
